-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       12.518s        88.34%       12.518s        4.173s           0 b           0 b           0 b           0 b             3
                                     record_param_comms         0.10%      17.170ms         0.14%      23.582ms      76.317us        7.525s        53.10%        7.525s      24.352ms           0 b           0 b           0 b           0 b           309
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us        7.525s        53.10%        7.525s      25.858ms           0 b           0 b           0 b           0 b           291
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us        7.521s        53.07%        7.521s      27.550ms           0 b           0 b           0 b           0 b           273
                                               aten::mm         1.52%     256.093ms         2.52%     422.870ms      43.884us        2.829s        19.96%        2.829s     293.584us           0 b           0 b     155.65 Gb     155.65 Gb          9636
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.652s        11.65%        1.652s     137.628ms           0 b           0 b           0 b           0 b            12
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us        1.171s         8.26%        1.171s     433.534us           0 b           0 b           0 b           0 b          2700
                                            aten::copy_         0.80%     134.727ms         3.04%     510.646ms      21.541us     843.208ms         5.95%     843.208ms      35.569us           0 b           0 b           0 b           0 b         23706
                                              aten::mul         1.37%     229.555ms         3.19%     536.527ms      30.968us     715.009ms         5.05%     715.009ms      41.270us           8 b           8 b     268.78 Gb     268.78 Gb         17325
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     704.375ms         4.97%     704.375ms     366.862us           0 b           0 b           0 b           0 b          1920
