experiment,architecture,parameters,split,success,fifo_success,oracle_success,gap_recovery,required_recall,eviction_regret,stale_value_rate,offline_mse,pairwise_accuracy,argmin_accuracy,offline_regret,groups_per_second,peak_memory_mib
A_pointwise,pointwise,6779905,test_id,0.9916666666666667,0.12666666666666668,1.0,0.9904580152671756,0.995,0.00016305916305916305,0.0016666666666666668,0.00561569202345124,0.99946608040201,1.0,0.0,150.77741553200454,4750.4228515625
A_pointwise,pointwise,6779905,test_composition,0.7766666666666666,0.13833333333333334,1.0,0.7408123791102514,0.8708333333333333,0.004158047970547971,0.011666666666666667,0.03852603270310083,0.9456019272088027,0.9998611111111111,0.0001388888888888889,151.7649477306232,4750.4228515625
A_pointwise,pointwise,6779905,test_length,0.7266666666666667,0.058333333333333334,1.0,0.7097345132743363,0.8266666666666667,0.002402440929723659,0.041666666666666664,0.02635702145640352,0.9538103592951408,1.0,0.0,151.6265965756726,4750.4228515625
A_pointwise,pointwise,6779905,test_semantic_stress,0.7916666666666666,0.135,1.0,0.7591522157996146,0.865,0.0037745448995449,0.0,0.04228188948558812,0.9369903160040775,1.0,0.0,151.79988696849287,4750.4228515625
B_joint_mse,joint,6780417,test_id,1.0,0.12666666666666668,1.0,1.0,1.0,0.0,0.0,0.003875139314567549,0.9999685929648241,1.0,0.0,323.69889255686354,2357.6640625
B_joint_mse,joint,6780417,test_composition,0.795,0.13833333333333334,1.0,0.7620889748549323,0.8208333333333333,0.004170288045288045,0.005,0.08539947147268287,0.8665277687349436,0.9963888888888889,0.003611111111111111,329.00060092105605,2357.6640625
B_joint_mse,joint,6780417,test_length,0.7383333333333333,0.058333333333333334,1.0,0.7221238938053097,0.7733333333333333,0.0023779118461646144,0.02666666666666667,0.07712007450055221,0.8861469219620108,0.99875,0.00125,323.6413785781824,2357.6640625
B_joint_mse,joint,6780417,test_semantic_stress,0.8166666666666667,0.135,1.0,0.7880539499036608,0.84,0.003764073889073889,0.06666666666666667,0.06035868279664679,0.9578873598369011,0.9997222222222222,0.0002777777777777778,330.156704799869,2357.6640625
C_joint_rank,joint,6780417,test_id,1.0,0.12666666666666668,1.0,1.0,1.0,0.0,0.0,0.003943920374566818,1.0,1.0,0.0,322.4277737307679,2357.6640625
C_joint_rank,joint,6780417,test_composition,0.8733333333333333,0.13833333333333334,1.0,0.8529980657640232,0.9183333333333333,0.0027627372627372624,0.0016666666666666668,0.011808275213488862,0.9509408164594049,0.9972222222222222,0.002777777777777778,327.87675803581874,2357.6640625
C_joint_rank,joint,6780417,test_length,0.8566666666666667,0.058333333333333334,1.0,0.8477876106194691,0.9091666666666667,0.0013899145944413632,0.0033333333333333335,0.00778817610321123,0.970211305210161,0.9995833333333334,0.0004166666666666667,322.6550974038127,2357.6640625
C_joint_rank,joint,6780417,test_semantic_stress,0.9083333333333333,0.135,1.0,0.8940269749518305,0.9358333333333333,0.0019431494431494433,0.005,0.029285461150858224,0.9700879204892966,0.9993055555555556,0.0006944444444444445,328.6520041274833,2357.6640625
D_joint_evict,joint,6780417,test_id,0.9183333333333333,0.12666666666666668,1.0,0.9064885496183206,0.9575,0.001640873015873016,0.0033333333333333335,0.0045502859843877435,0.9990263819095477,1.0,0.0,327.75951558589355,2357.6640625
D_joint_evict,joint,6780417,test_composition,0.6916666666666667,0.13833333333333334,1.0,0.6421663442940039,0.7908333333333334,0.006541421541421542,0.03666666666666667,0.041948461512279905,0.913503483299694,0.9901388888888889,0.00986111111111111,327.77732589172683,2357.6640625
D_joint_evict,joint,6780417,test_length,0.62,0.058333333333333334,1.0,0.5964601769911504,0.7158333333333333,0.003687256235727967,0.05,0.04182081008119904,0.9133419787931956,0.9933333333333333,0.006666666666666667,322.74212007222496,2357.6640625
D_joint_evict,joint,6780417,test_semantic_stress,0.7266666666666667,0.135,1.0,0.6840077071290944,0.7608333333333334,0.00582706413956414,0.015,0.024853951160077308,0.8766246177370031,0.9894444444444445,0.010555555555555556,328.3302924861755,2357.6640625
E_joint_full,joint,6780417,test_id,0.895,0.12666666666666668,1.0,0.8797709923664122,0.9466666666666667,0.0021640812890812893,0.0016666666666666668,0.004696768591274052,0.9986180904522614,0.9998611111111111,0.0001388888888888889,323.67864456668457,2357.6640625
E_joint_full,joint,6780417,test_composition,0.8283333333333334,0.13833333333333334,1.0,0.8007736943907157,0.8725,0.003620273245273245,0.03333333333333333,0.021365337853603453,0.9434207956247151,0.9954166666666666,0.004583333333333333,328.82364549084565,2357.6640625
E_joint_full,joint,6780417,test_length,0.7916666666666666,0.058333333333333334,1.0,0.7787610619469026,0.84,0.0019814219539790222,0.03166666666666667,0.016345564160994933,0.9467159966435273,0.9959722222222223,0.004027777777777778,327.84357606345066,2357.6640625
E_joint_full,joint,6780417,test_semantic_stress,0.6866666666666666,0.135,1.0,0.6377649325626203,0.8141666666666667,0.006497814685314685,0.006666666666666667,0.027529229863755108,0.9051350662589195,0.9920833333333333,0.007916666666666667,328.7963133447576,2357.6640625
F_joint_partial,joint_partial,6780417,test_id,0.9183333333333333,0.12666666666666668,1.0,0.9064885496183206,0.9591666666666666,0.001655663780663781,0.0,0.0031427277516104368,0.9995917085427136,1.0,0.0,281.77425534627287,2357.6640625
F_joint_partial,joint_partial,6780417,test_composition,0.6166666666666667,0.13833333333333334,1.0,0.5551257253384914,0.7233333333333334,0.00782012663262663,0.028333333333333332,0.01813680019276944,0.8359268181522235,0.99,0.00951388888888889,279.7702589495715,2357.6640625
F_joint_partial,joint_partial,6780417,test_length,0.55,0.058333333333333334,1.0,0.5221238938053098,0.6491666666666667,0.004197161604576848,0.04,0.013674720146444896,0.8551376916622168,0.9934722222222222,0.006388888888888889,282.0675835457125,2357.6640625
F_joint_partial,joint_partial,6780417,test_semantic_stress,0.64,0.135,1.0,0.5838150289017341,0.725,0.007133734321234321,0.015,0.024611434470634776,0.8379841997961264,0.9841666666666666,0.015069444444444444,282.8964828587493,2357.6640625
